Date,Open,High,Low,Close,Adj Close,Volume
1999-04-23,52.912010,54.282478,52.912010,53.209938,32.077610,1706900
1999-04-26,53.388695,53.686623,52.494911,53.388695,32.185345,910200
1999-04-27,54.103722,54.520821,52.554497,53.388695,32.185345,2995700
1999-04-28,53.507866,56.665901,53.507866,56.308388,33.945492,3330400
1999-04-29,56.248802,57.559685,55.712532,57.440514,34.627995,2478100
1999-04-30,57.440514,58.155540,55.772118,56.010460,33.765888,2170000
1999-05-03,55.891289,58.334297,55.533775,58.155540,35.059055,1886900
1999-05-04,58.632225,59.049324,57.559685,58.453468,35.238655,2421600
1999-05-05,57.321342,58.453468,56.665901,58.155540,35.059055,1956100
1999-05-06,56.963829,59.287666,56.963829,58.691811,35.382339,2358100
1999-05-07,58.513054,61.969021,58.513054,61.611507,37.142483,2735400
1999-05-10,61.015648,62.684048,60.777306,61.909435,37.322083,2693000
1999-05-11,61.909435,62.207363,59.943108,60.598549,36.531807,2610000
1999-05-12,60.419792,60.479378,59.287666,59.347252,35.777477,1894500
1999-05-13,59.585594,59.823936,58.751396,59.049324,35.597858,1203000
1999-05-14,58.393883,58.691811,57.083000,57.619270,34.735737,1426000
1999-05-17,57.321342,57.857613,56.785072,57.619270,34.735737,959700
1999-05-18,57.321342,58.572639,56.606316,58.215126,35.198807,1728300
1999-05-19,57.798027,58.691811,57.500099,58.691811,35.487049,2434200
1999-05-20,58.453468,59.406837,57.321342,57.976784,35.054714,1657000
1999-05-21,57.798027,59.049324,57.738441,58.155540,35.162788,1931600
1999-05-24,57.678856,59.704765,57.440514,58.572639,35.414978,1342300
1999-05-25,58.513054,59.108910,57.083000,57.083000,34.514290,1867000
1999-05-26,56.844658,57.678856,54.878334,56.546730,34.190052,2703700
1999-05-27,56.070045,56.189217,53.388695,54.103722,32.712925,3196500
1999-05-28,54.342064,55.474190,54.163307,55.355019,33.469505,1346700
1999-06-01,55.533775,56.487144,54.163307,56.070045,33.901840,1991100
1999-06-02,56.487144,57.559685,56.367973,57.321342,34.658413,1363500
1999-06-03,57.559685,57.678856,56.665901,57.559685,34.802536,1543600
1999-06-04,57.380928,57.559685,55.593361,55.652946,33.649624,1560600
1999-06-07,55.652946,61.015648,55.652946,59.883522,36.207581,9025300
1999-06-08,59.883522,60.598549,59.526009,60.062279,36.315666,6240000
1999-06-09,60.062279,60.121864,59.347252,59.347252,35.883350,2859000
1999-06-10,59.347252,59.406837,58.632225,58.870567,35.595100,3256200
1999-06-11,59.704765,60.002693,59.108910,59.168495,35.775261,2315800
1999-06-14,59.168495,59.347252,58.393883,59.228081,35.811283,1374700
1999-06-15,59.466423,59.764351,59.347252,59.466423,35.955383,2472700
1999-06-16,60.062279,61.909435,60.002693,61.909435,37.432518,2455800
1999-06-17,61.432747,63.756588,61.075233,63.220318,38.225136,1959900
1999-06-18,63.875759,64.590782,63.637417,64.352440,38.909664,2812700
1999-06-21,64.590782,65.424980,64.590782,64.888710,39.233879,1934100
1999-06-22,64.888710,64.888710,63.041561,63.399075,38.333210,2545200
1999-06-23,63.399075,63.816174,62.803219,63.697002,38.513332,1232400
1999-06-24,63.697002,63.697002,61.253990,62.088192,37.540611,1958300
1999-06-25,62.326534,63.101147,61.849850,62.803219,37.972931,1849900
1999-06-28,63.160732,63.160732,61.015648,61.015648,36.892101,1834700
1999-06-29,61.075233,61.075233,60.419792,60.538963,36.603893,2805000
1999-06-30,60.538963,61.492332,59.585594,60.062279,36.315666,4193900
1999-07-01,60.181450,61.015648,59.347252,61.015648,36.892101,1592600
1999-07-02,60.062279,60.717720,60.062279,60.300621,36.459778,1205300
1999-07-06,60.479378,60.479378,58.632225,58.870567,35.595100,1928400
1999-07-07,58.810982,60.896477,58.572639,60.896477,36.820042,1826100
1999-07-08,60.300621,62.207363,60.300621,62.088192,37.540611,1693300
1999-07-09,62.326534,63.279903,62.088192,62.743633,37.936916,2153600
1999-07-12,62.684048,62.743633,61.730679,62.386120,37.720726,1368900
1999-07-13,62.266949,62.266949,61.253990,61.969021,37.468544,1135800
1999-07-14,62.088192,63.518246,61.849850,63.160732,38.189110,2059900
1999-07-15,63.458660,63.577831,62.505291,63.518246,38.405262,2754800
1999-07-16,63.816174,64.829124,63.697002,64.531197,39.017723,2616300
1999-07-19,64.412025,64.412025,63.041561,63.279903,38.261154,1505400
1999-07-20,62.564877,62.684048,61.253990,61.373161,37.108273,1492200
1999-07-21,61.611507,62.147778,61.492332,61.969021,37.468544,1200300
1999-07-22,62.028606,62.088192,61.313576,61.849850,37.396500,1033600
1999-07-23,61.969021,63.041561,61.313576,61.313576,37.072254,1864600
